Berat,PanjangBulu,TingkatAktivitas,WarnaDominan,SuaraKucing,UmurTahun,RasKucing
2.8,Pendek,Sedang,Abu,Keras,2,Kampung
2.5,Pendek,Sedang,Abu,Keras,1,Kampung
3.6,Pendek,Tinggi,Putih,Keras,7,Siam
4.1,Panjang,Rendah,Abu,Pelan,8,Persia
4.6,Panjang,Rendah,Cream,Pelan,4,Persia
5.5,Panjang,Tinggi,Hitam,Sedang,9,MaineCoon
4.2,Panjang,Sedang,Putih,Sedang,8,Persia
3.7,Pendek,Tinggi,Abu,Keras,7,Siam
3.4,Pendek,Tinggi,Abu,Keras,3,Siam
4.7,Panjang,Sedang,Putih,Pelan,5,Persia
2.8,Pendek,Tinggi,Abu,Keras,5,Kampung
3.0,Pendek,Sedang,Cream,Sedang,2,Kampung
3.4,Pendek,Tinggi,Hitam,Keras,5,Siam
4.0,Panjang,Rendah,Cream,Pelan,3,Persia
2.6,Pendek,Sedang,Putih,Keras,4,Kampung
4.5,Panjang,Sedang,Putih,Sedang,3,Persia
4.7,Panjang,Rendah,Hitam,Sedang,7,Persia
3.4,Pendek,Tinggi,Coklat,Keras,6,Siam
2.9,Pendek,Sedang,Coklat,Keras,1,Kampung
3.8,Panjang,Sedang,Coklat,Pelan,8,Persia
4.0,Panjang,Rendah,Cream,Pelan,5,Persia
4.0,Panjang,Sedang,Putih,Pelan,7,Persia
4.8,Panjang,Rendah,Coklat,Pelan,7,Persia
5.1,Panjang,Sedang,Coklat,Pelan,9,MaineCoon
5.2,Panjang,Tinggi,Abu,Sedang,7,MaineCoon
3.3,Sedang,Tinggi,Coklat,Keras,2,Anggora
3.4,Sedang,Sedang,Hitam,Sedang,3,Anggora
4.7,Panjang,Sedang,Abu,Sedang,3,Persia
3.4,Pendek,Tinggi,Cream,Keras,3,Siam
3.7,Sedang,Tinggi,Cream,Sedang,2,Anggora
3.9,Panjang,Sedang,Hitam,Sedang,6,Persia
4.4,Panjang,Sedang,Putih,Sedang,2,Persia
3.2,Pendek,Tinggi,Coklat,Keras,5,Siam
7.3,Panjang,Sedang,Putih,Pelan,8,MaineCoon
6.1,Panjang,Sedang,Cream,Pelan,7,MaineCoon
4.1,Pendek,Tinggi,Putih,Keras,1,Siam
3.1,Pendek,Tinggi,Putih,Keras,4,Siam
3.6,Pendek,Tinggi,Putih,Keras,2,Siam
3.4,Sedang,Tinggi,Coklat,Keras,3,Anggora
5.0,Panjang,Tinggi,Hitam,Sedang,4,MaineCoon
3.9,Pendek,Tinggi,Coklat,Keras,1,Siam
3.0,Pendek,Sedang,Abu,Keras,1,Kampung
3.6,Pendek,Tinggi,Coklat,Keras,7,Siam
4.0,Pendek,Tinggi,Abu,Keras,7,Siam
4.7,Panjang,Sedang,Abu,Pelan,8,Persia
3.9,Sedang,Tinggi,Coklat,Sedang,6,Anggora
2.6,Pendek,Sedang,Abu,Sedang,3,Kampung
4.4,Panjang,Rendah,Abu,Pelan,2,Persia
4.0,Panjang,Sedang,Putih,Sedang,4,Persia
2.8,Pendek,Tinggi,Putih,Keras,5,Kampung
3.8,Pendek,Tinggi,Abu,Keras,4,Siam
4.1,Panjang,Sedang,Putih,Sedang,5,Persia
4.0,Panjang,Rendah,Putih,Sedang,3,Persia
3.2,Pendek,Tinggi,Abu,Keras,2,Siam
4.0,Pendek,Tinggi,Abu,Keras,1,Siam
3.8,Sedang,Sedang,Abu,Keras,2,Anggora
2.5,Pendek,Tinggi,Hitam,Keras,3,Kampung
